=== libpredict example application ===
Time:                     2024-07-05 15:56:09.851Z
Observer Position:        +51.2365°N, -0.5788°E, +0m
== Celestial Bodies ==
Current Sun Observation:  AZ:  259.248°, EL:   37.810°
          RF refraction:  dEL:   +0.013° (visible)
== Spacecraft ==
Parsing ISS TLE..         OK (Epoch: 2024.181.34)
Calculating ISS orbit..   OK
Current ISS Observation:  AZ:  341.049°, EL:  -42.554°
          RF refraction:  dEL:   +0.000° (not visible)
IM Chip ID: 0xa0 (correct = a0)
OPR Mode: 0x04
Next ISS AoS Azimuth:     176.567° at 2024-07-05 21:44:54.135Z
+0348,-0276,358.5
      Max Elevation:        6.754° at 2024-07-05 21:48:32.255Z
         LoS Azimuth:      86.982° at 2024-07-05 21:52:24.429Z
+0324,-0282,358.5
+0330,-0270,358.5
+0318,-0264,358.5
+0312,-0264,358.5
+0312,-0264,358.5
+0336,-0270,358.5
+0330,-0264,358.5
+0318,-0282,358.5
+0312,-0258,358.5
+0324,-0270,358.5
+0336,-0270,358.5
+0336,-0276,358.5
+0324,-0276,358.5
+0336,-0264,358.5
+0324,-0276,358.5
+0342,-0246,358.5
+0318,-0264,358.5
+0336,-0258,358.5
+0324,-0282,358.5
+0324,-0264,358.5
+0324,-0270,358.5
+0306,-0264,358.5
+0324,-0276,358.5
+0336,-0270,358.5
+0318,-0276,358.5
+0318,-0264,358.5
+0312,-0282,358.5
+0312,-0264,358.5
+0330,-0270,358.5
+0318,-0276,358.5
+0324,-0270,358.5
+0318,-0258,358.5
+0330,-0264,358.5
+0324,-0264,358.5
+0318,-0282,358.5
+0324,-0276,358.5
+0330,-0276,358.5
+0318,-0252,358.5
+0318,-0276,358.5
+0324,-0282,358.5
+0324,-0276,358.5
+0312,-0252,358.5
+0342,-0282,358.5
+0330,-0258,358.5
+0318,-0270,358.5
+0324,-0270,358.5
+0318,-0270,358.5
+0330,-0270,358.5
+0312,-0282,358.5
+0312,-0258,358.5
+0294,-0276,358.5
+0336,-0276,358.5
+0330,-0288,358.5
+0324,-0264,358.5
+0324,-0264,358.5
+0324,-0270,358.5
+0324,-0240,358.5
+0336,-0270,358.5
+0330,-0270,358.5
+0306,-0264,358.5
+0330,-0270,358.5
+0324,-0276,358.5
+0330,-0270,358.5
+0336,-0282,358.5
+0336,-0270,358.5
+0342,-0282,358.5
+0318,-0282,358.5
+0324,-0276,358.5
+0330,-0264,358.5
+0330,-0276,358.5
RX: M0,90
+0342,-0270,358.5
+0336,-0270,358.5
+0312,-0264,358.5
+0318,-0264,358.5
+0336,-0264,358.5
+0324,-0264,358.5
+0318,-0276,358.5
+0330,-0270,357.1
+0312,-0270,357.1
+0318,-0276,356.3
+0324,-0288,355.5
+0330,-0288,355.5
+0330,-0306,355.5
+0324,-0312,354.2
+0330,-0294,354.0
+0306,-0306,354.0
+0324,-0294,352.7
+0342,-0312,352.5
+0324,-0300,352.5
+0348,-0318,351.9
+0324,-0294,350.9
+0330,-0330,350.7
+0324,-0330,350.5
